CVE_ID,state,assigner,date_published,date_updated,cvss_score,cvss_version,cwes,exploitDB_type,exploitDB_platform,KEV_product,KEV_knownRansomwareCampaignUse,Vendor,id,date_mastodon
CVE-2018-18445,PUBLISHED,mitre,2018-10-17T19:00:00,2024-08-05T11:08:21.850Z,,,,,,,,,112654387582857277,2024-06-21T11:32:15.000Z
CVE-2018-18445,PUBLISHED,mitre,2018-10-17T19:00:00,2024-08-05T11:08:21.850Z,,,,,,,,,112654387582857277,2024-06-21T11:32:15.000Z
CVE-2018-18445,PUBLISHED,mitre,2018-10-17T19:00:00,2024-08-05T11:08:21.850Z,,,,,,,,,112654387582857277,2024-06-21T11:32:15.000Z
CVE-2018-18445,PUBLISHED,mitre,2018-10-17T19:00:00,2024-08-05T11:08:21.850Z,,,,,,,,,112654387582857277,2024-06-21T11:32:15.000Z
CVE-2018-18445,PUBLISHED,mitre,2018-10-17T19:00:00,2024-08-05T11:08:21.850Z,,,,,,,,,112654387582857277,2024-06-21T11:32:15.000Z
CVE-2018-18445,PUBLISHED,mitre,2018-10-17T19:00:00,2024-08-05T11:08:21.850Z,,,,,,,,,112654387582857277,2024-06-21T11:32:15.000Z
CVE-2018-4301,PUBLISHED,apple,2025-01-07T23:26:58.979Z,2025-01-08T17:26:16.041Z,,,,,,,,,113794227564390302,2025-01-08T18:48:34.000Z
CVE-2018-4301,PUBLISHED,apple,2025-01-07T23:26:58.979Z,2025-01-08T17:26:16.041Z,,,,,,,,,113794227564390302,2025-01-08T18:48:34.000Z
CVE-2018-7600,PUBLISHED,drupal,2018-03-29T07:00:00.000Z,2025-02-07T12:40:18.384Z,,,CWE-20,remote,php,Drupal Core,Known,Drupal,99763283882066928,2018-03-28T19:55:04.996Z
CVE-2018-9341,PUBLISHED,google_android,2024-11-19T18:51:40.920Z,2024-11-20T16:21:22.527Z,,,,,,,,,113516540560615129,2024-11-20T17:49:06.000Z
CVE-2018-9341,PUBLISHED,google_android,2024-11-19T18:51:40.920Z,2024-11-20T16:21:22.527Z,,,,,,,,,113516540560615129,2024-11-20T17:49:06.000Z
CVE-2018-9373,PUBLISHED,google_android,2025-01-28T16:52:42.889Z,2025-01-28T19:49:40.008Z,,,,,,,,,113910594213832072,2025-01-29T08:02:09.000Z
CVE-2018-9373,PUBLISHED,google_android,2025-01-28T16:52:42.889Z,2025-01-28T19:49:40.008Z,,,,,,,,,113910594213832072,2025-01-29T08:02:09.000Z
CVE-2018-9373,PUBLISHED,google_android,2025-01-28T16:52:42.889Z,2025-01-28T19:49:40.008Z,,,,,,,,,113908418707218149,2025-01-28T22:48:52.000Z
CVE-2018-9373,PUBLISHED,google_android,2025-01-28T16:52:42.889Z,2025-01-28T19:49:40.008Z,,,,,,,,,113910594213832072,2025-01-29T08:02:09.000Z
CVE-2018-9373,PUBLISHED,google_android,2025-01-28T16:52:42.889Z,2025-01-28T19:49:40.008Z,,,,,,,,,113910594213832072,2025-01-29T08:02:09.000Z
CVE-2018-9373,PUBLISHED,google_android,2025-01-28T16:52:42.889Z,2025-01-28T19:49:40.008Z,,,,,,,,,113908418707218149,2025-01-28T22:48:52.000Z
CVE-2018-9380,PUBLISHED,google_android,2024-12-02T19:54:27.063Z,2024-12-02T21:25:57.228Z,,,,,,,,,113585665339802598,2024-12-02T22:48:27.000Z
CVE-2018-9380,PUBLISHED,google_android,2024-12-02T19:54:27.063Z,2024-12-02T21:25:57.228Z,,,,,,,,,113585665339802598,2024-12-02T22:48:27.000Z
CVE-2018-9402,PUBLISHED,google_android,2024-12-04T23:27:42.808Z,2024-12-05T16:21:56.367Z,,,,,,,,,113601709087464330,2024-12-05T18:48:35.000Z
CVE-2018-9402,PUBLISHED,google_android,2024-12-04T23:27:42.808Z,2024-12-05T16:21:56.367Z,,,,,,,,,113601709087464330,2024-12-05T18:48:35.000Z
CVE-2018-9411,PUBLISHED,google_android,2024-11-19T21:06:22.949Z,2024-11-20T15:55:45.282Z,,,,,,,,,113516540703363556,2024-11-20T17:49:09.000Z
CVE-2018-9411,PUBLISHED,google_android,2024-11-19T21:06:22.949Z,2024-11-20T15:55:45.282Z,,,,,,,,,113516540703363556,2024-11-20T17:49:09.000Z
CVE-2018-9413,PUBLISHED,google_android,2024-12-02T21:03:50.218Z,2024-12-03T18:37:45.447Z,,,,,,,,,113590620773770372,2024-12-03T19:48:41.000Z
CVE-2018-9413,PUBLISHED,google_android,2024-12-02T21:03:50.218Z,2024-12-03T18:37:45.447Z,,,,,,,,,113590620773770372,2024-12-03T19:48:41.000Z
CVE-2018-9418,PUBLISHED,google_android,2024-12-02T21:23:20.707Z,2024-12-03T15:12:16.153Z,,,,,,,,,113589912506894860,2024-12-03T16:48:33.000Z
CVE-2018-9418,PUBLISHED,google_android,2024-12-02T21:23:20.707Z,2024-12-03T15:12:16.153Z,,,,,,,,,113589912506894860,2024-12-03T16:48:33.000Z
CVE-2018-9428,PUBLISHED,google_android,2024-11-19T21:25:02.634Z,2024-11-20T15:27:16.790Z,,,,,,,,,113516540756985255,2024-11-20T17:49:10.000Z
CVE-2018-9428,PUBLISHED,google_android,2024-11-19T21:25:02.634Z,2024-11-20T15:27:16.790Z,,,,,,,,,113516540756985255,2024-11-20T17:49:10.000Z
CVE-2018-9430,PUBLISHED,google_android,2024-12-02T21:36:48.335Z,2024-12-03T14:48:09.933Z,,,,,,,,,113589912517609882,2024-12-03T16:48:34.000Z
CVE-2018-9430,PUBLISHED,google_android,2024-12-02T21:36:48.335Z,2024-12-03T14:48:09.933Z,,,,,,,,,113589912517609882,2024-12-03T16:48:34.000Z
CVE-2018-9466,PUBLISHED,google_android,2024-11-19T22:21:20.706Z,2024-11-20T15:25:03.308Z,,,,,,,,,113516541131924200,2024-11-20T17:49:11.000Z
CVE-2018-9466,PUBLISHED,google_android,2024-11-19T22:21:20.706Z,2024-11-20T15:25:03.308Z,,,,,,,,,113516541131924200,2024-11-20T17:49:11.000Z
CVE-2018-9469,PUBLISHED,google_android,2024-11-20T16:53:36.233Z,2024-11-20T19:08:05.439Z,,,,,,,,,113517010852011117,2024-11-20T19:48:43.000Z
